event_id,symbol,anchor_ts_ms,liquidation_pressure,aggressive_buy_sell_notional,minute_signed_flow_imbalance,raw_trades,aggTrade_only_flow,midquote,spread,top_level_depth,multi_level_depth,OFI,MLOFI,exact_add_cancel_decomposition,displayed_depth_recovery,Flow_Surprise_feasibility,Impact_Surprise_feasibility,BTC_common_market_adjustment,tick_regime_conditioning,measurement_sensitivity_analysis,classification_basis
E:REUSDT:1781850730196,REUSDT,1781850730196,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:REUSDT:1781890124567,REUSDT,1781890124567,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:REUSDT:1781961178284,REUSDT,1781961178284,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:REUSDT:1781993071245,REUSDT,1781993071245,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:REUSDT:1782047077639,REUSDT,1782047077639,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:SPCXUSDT:1782237239120,SPCXUSDT,1782237239120,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:AAOIUSDT:1782241674063,AAOIUSDT,1782241674063,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:XRPUSDT:1782394329538,XRPUSDT,1782394329538,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:AAOIUSDT:1783013941004,AAOIUSDT,1783013941004,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:XRPUSDT:1783230138080,XRPUSDT,1783230138080,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:AAOIUSDT:1784266556188,AAOIUSDT,1784266556188,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:KORUUSDT:1784271145642,KORUUSDT,1784271145642,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:BANKUSDT:1784293554509,BANKUSDT,1784293554509,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:SKHYNIXUSDT:1784325168738,SKHYNIXUSDT,1784325168738,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:BANKUSDT:1784466726162,BANKUSDT,1784466726162,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
